ReqId,ReqAddr,RefTraceCycle,ReqBusLatency,RespBusLatency,ReplcLatency,LatencyMinusRepl,TotLatency,WcReqLatency,WcRespLatency,WcReplcLatency,WcLatency,WcLatencyMinsRepl,AverageLatency
798,1008960,7000,7,140,0,147,147,177,144,60,301,301,148
803,1009024,7050,7,120,21,106,127,177,144,60,301,301,148
810,1009088,7100,7,140,41,106,147,177,144,60,301,301,148
815,1009152,7150,7,140,20,127,147,177,144,60,301,301,148
818,1009216,7200,7,140,40,107,147,177,144,60,301,301,148
823,1009280,7250,7,120,21,106,127,177,144,60,301,301,148
829,1009344,7300,7,140,0,147,147,177,144,60,301,301,147
833,1009408,7350,7,120,21,106,127,177,144,60,301,301,147
838,1009472,7400,7,140,0,147,147,177,144,60,301,301,147
842,1009536,7450,7,140,41,106,147,177,144,60,301,301,147
847,1009600,7500,7,140,20,127,147,177,144,60,301,301,147
851,1009664,7550,7,120,21,106,127,177,144,60,301,301,147
857,1009728,7600,7,140,0,147,147,177,144,60,301,301,147
862,1009792,7650,7,120,0,127,127,177,144,60,301,301,147
867,1009856,7700,7,140,21,126,147,177,144,60,301,301,147
871,1009920,7750,7,120,21,106,127,177,144,60,301,301,147
875,1009984,7800,7,140,0,147,147,177,144,60,301,301,147
879,1010048,7850,7,140,41,106,147,177,144,60,301,301,147
884,1010112,7900,7,140,0,147,147,177,144,60,301,301,147
888,1010176,7950,7,140,41,106,147,177,144,60,301,301,147
895,1010240,8000,7,140,20,127,147,177,144,60,301,301,147
899,1010304,8050,7,120,21,106,127,177,144,60,301,301,147
905,1010368,8100,7,140,21,126,147,177,144,60,301,301,147
910,1010432,8150,7,120,0,127,127,177,144,60,301,301,147
914,1010496,8200,7,140,0,147,147,177,144,60,301,301,147
918,1010560,8250,7,120,21,106,127,177,144,60,301,301,147
923,1010624,8300,7,140,20,127,147,177,144,60,301,301,147
927,1010688,8350,7,140,41,106,147,177,144,60,301,301,147
931,1010752,8400,7,140,20,127,147,177,144,60,301,301,147
935,1010816,8450,7,120,0,127,127,177,144,60,301,301,146
941,1010880,8500,7,140,21,126,147,177,144,60,301,301,146
947,1010944,8550,7,120,0,127,127,177,144,60,301,301,146
